peak	gene	distance	peak_type
chr11_65390378_65391383	FRMD8	3722	distal
chr11_65413023_65431707	FRMD8;NEAT1	0;0	distal;promoter
chr11_65432892_65433344	NEAT1	7342	distal
chr11_65434239_65434247	NEAT1	8689	distal
chr11_65434802_65436729	NEAT1	9252	distal
chr11_65437774_65438088	NEAT1	12224	distal
chr11_65441054_65441136	NEAT1	15504	distal
chr11_65442126_65442380	NEAT1	16576	distal
chr11_65443994_65444599	NEAT1	18444	distal
chr11_65445549_65446147	NEAT1	19999	distal
chr11_65446746_65446920	NEAT1	21196	distal
chr11_65454269_65455765	NEAT1	28719	distal
chr11_65468806_65469269	AP000769.6	-18615	distal
chr11_65470389_65472677	AP000769.6	-15207	distal
chr11_65476291_65480462	AP000769.6	-7422	distal
chr11_65481034_65495282	LINC02736;AP000769.6	0;0	promoter;promoter
chr11_65495896_65511262	MALAT1;AP000769.2	0;0	promoter;promoter
chr11_65515902_65516992	SCYL1	-8085	distal
chr11_65523014_65525995	SCYL1	0	promoter
chr11_65537954_65541639	SCYL1;LTBP3	0;3065	distal;distal
chr11_65546345_65547009	LTBP3	0	promoter
chr11_65552086_65552472	LTBP3	-3168	distal
chr11_65555729_65556168	LTBP3	1791	distal
chr11_65556687_65561377	LTBP3	0	promoter
chr11_65569178_65576514	EHBP1L1;ZNRD2;FAM89B;SSSCA1-AS1	0;0;0;0	promoter;promoter;promoter;promoter
chr11_65577086_65578104	EHBP1L1	1034	distal
chr11_65584384_65585635	EHBP1L1	8332	distal
chr11_65588137_65589045	KCNK7;EHBP1L1	6763;0	distal;distal
chr11_65592038_65594457	KCNK7;EHBP1L1	1351;0	distal;distal
chr11_65606569_65608573	MAP3K11	0	promoter
chr11_65609518_65616499	MAP3K11;PCNX3	0;0	promoter;promoter
chr11_65625710_65626460	PCNX3	9938	distal
chr11_65637604_65639963	SIPA1	0	promoter
chr11_65640623_65641008	SIPA1	503	distal
chr11_65646908_65647795	SIPA1	6788	distal
chr11_65649008_65649535	SIPA1	8888	distal
chr11_65651811_65654039	RELA	8856	distal
chr11_65662006_65664487	RELA;RELA-DT	0;0	promoter;promoter
chr11_65695400_65696362	KAT5	-15634	distal
chr11_65698179_65698531	KAT5	-13465	distal
chr11_65699367_65699725	KAT5	-12271	distal
chr11_65706204_65706819	KAT5	-5177	distal
chr11_65711123_65713068	KAT5	0	promoter
chr11_65719172_65721164	RNASEH2C;KAT5	0;0	promoter;distal
chr11_65779509_65782156	AP5B1	0	promoter
chr11_65817711_65818654	SNX32	-15309	distal
chr11_65833112_65834503	SNX32	0	promoter
chr11_65856759_65861421	MUS81;CFL1	0;0	promoter;promoter
chr11_65867626_65868576	EFEMP2	4167	distal
chr11_65871338_65874232	EFEMP2	0	promoter
chr11_65884373_65885240	FIBP	3274	distal
chr11_65887549_65894210	FIBP;FOSL1;CCDC85B	0;0;0	promoter;distal;promoter
chr11_65900074_65900928	FOSL1	0	promoter
chr11_65915591_65916211	C11orf68	2149	distal
chr11_65918344_65920375	DRAP1;C11orf68	0;0	promoter;promoter
chr11_65928158_65928163	DRAP1	8435	distal
chr11_65941327_65941691	TSGA10IP	-3754	distal
chr11_65960953_65962327	SART1	0	promoter
chr11_65988822_65989604	EIF1AD	12552	distal
chr11_66001708_66003200	BANF1;EIF1AD	0;0	promoter;promoter
chr11_66022321_66022981	CATSPER1	3498	distal
chr11_66045022_66045757	GAL3ST3	0	promoter
chr11_66047814_66049596	GAL3ST3	0	promoter
chr11_66051078_66052909	SF3B2	0	promoter
chr11_66068145_66071732	SF3B2;PACS1;AP006287.2	0;0;0	distal;promoter;promoter
chr11_66087246_66087396	PACS1	16975	distal
chr11_66100666_66101142	PACS1	30395	distal
chr11_66126662_66127627	PACS1	56391	distal
chr11_66134539_66134833	PACS1	64268	distal
chr11_66183318_66184058	PACS1	-46322	distal
chr11_66222578_66223180	PACS1	-7200	distal
chr11_66242416_66242660	PACS1	1469	distal
chr11_66256713_66258886	KLC2	0	promoter
chr11_66266144_66269744	RAB1B;KLC2;AP001107.7	0;0;0	promoter;distal;promoter
chr11_66277407_66284189	CNIH2;RAB1B;AP001107.1;AP001107.2	0;0;0;0	promoter;distal;promoter;promoter
chr11_66285284_66286269	YIF1A	0	promoter
chr11_66287490_66295268	YIF1A;TMEM151A	0;0	promoter;promoter
chr11_66295809_66296309	TMEM151A	3916	distal
chr11_66311520_66313970	AP001107.3	0	promoter
chr11_66316217_66318742	CD248;AP001107.3	0;0	promoter;distal
chr11_66326513_66327147	AP001107.6	-7347	distal
chr11_66327926_66329141	AP001107.6	-5353	distal
chr11_66335565_66337908	BRMS1;RIN1;AP001107.6	0;0;0	distal;promoter;distal
chr11_66344567_66345660	B4GAT1;BRMS1	0;0	distal;promoter
chr11_66346395_66349008	B4GAT1;AP001107.9	0;0	promoter;promoter
chr11_66370159_66372741	SLC29A2	0	promoter
chr11_66386074_66386620	SLC29A2	-13861	distal
chr11_66389042_66389148	SLC29A2	-16829	distal
chr11_66408341_66409529	AP001107.5	0	promoter
chr11_66414325_66414683	AP001107.5	3654	distal
chr11_66416795_66417522	NPAS4;AP001107.5	-3482;0	distal;distal
chr11_66418043_66419033	NPAS4	-1971	distal
chr11_66419741_66422170	NPAS4	0	promoter
chr11_66429936_66430399	MRPL11	8435	distal
chr11_66438293_66439467	MRPL11	0	promoter
chr11_66466044_66468174	PELI3	0	promoter
chr11_66479178_66481013	DPP3;AP002748.4	0;0	promoter;promoter
chr11_66510167_66511139	BBS1	0	promoter
chr11_66541988_66542427	ZDHHC24	3621	distal
chr11_66543279_66544142	ZDHHC24	1906	distal
chr11_66545480_66547079	ZDHHC24;ACTN3	0;0	promoter;promoter
chr11_66559160_66559598	ACTN3;AP002748.2	0;786	distal;distal
chr11_66567755_66569073	CTSF	0	promoter
chr11_66578971_66579640	CTSF	-10366	distal
chr11_66592584_66593794	CCS;CCDC87	0;0	promoter;promoter
chr11_66595349_66595779	CCS	2109	distal
chr11_66607036_66607681	RBM14	-8901	distal
chr11_66615852_66617888	RBM14	0	promoter
chr11_66619022_66619541	RBM14	2308	distal
chr11_66637795_66639688	RBM4	0	promoter
chr11_66643491_66643844	RBM4	4557	distal
chr11_66677000_66678996	RBM4B	0	promoter
chr11_66694576_66695244	SPTBN2;RBM4B	0;-16690	distal;distal
chr11_66720214_66720639	SPTBN2	601	distal
chr11_66727318_66729448	SPTBN2	0	promoter
chr11_66744115_66745731	C11orf80	0	promoter
chr11_66834210_66834681	RCE1;C11orf80	-8756;0	distal;distal
chr11_66839350_66839677	RCE1;C11orf80	-3760;0	distal;distal
chr11_66842531_66844551	RCE1;C11orf80	0;0	promoter;distal
chr11_66855552_66859515	PC;LRFN4	0;0	distal;promoter
chr11_66860660_66860769	PC;LRFN4	0;3543	distal;distal
chr11_66864884_66865502	PC	6537	distal
chr11_66879525_66883903	PC	-7487	distal
chr11_66885536_66886216	PC	-13498	distal
chr11_66905234_66905309	PC	2592	distal
chr11_66906384_66906909	PC	992	distal
chr11_66907879_66908210	PC	0	promoter
chr11_66912312_66913899	PC	-4412	distal
chr11_66914707_66916548	PC	-6807	distal
chr11_66919776_66921621	PC	-11876	distal
chr11_66950211_66950423	PC	7949	distal
chr11_66956783_66959323	PC	0	promoter
chr11_66982098_66982292	C11orf86	6822	distal
chr11_67006435_67006917	SYT12	0	promoter
chr11_67022238_67024224	SYT12	0	promoter
chr11_67031901_67034204	SYT12	8768	distal
chr11_67045141_67045660	RHOD;SYT12	-11187;0	distal;distal
chr11_67053753_67054592	RHOD	-2255	distal
chr11_67056676_67057052	RHOD	0	promoter
chr11_67071481_67072110	RHOD	14593	distal
chr11_67081437_67081816	RHOD	24549	distal
chr11_67117576_67121259	KDM2A	0	promoter
chr11_67238998_67241478	KDM2A	0	promoter
chr11_67252889_67253128	KDM2A;AP001885.3	0;8417	distal;distal
chr11_67261149_67263659	AP001885.3	0	promoter
chr11_67265629_67268433	GRK2	0	promoter
chr11_67269433_67273074	GRK2	2953	distal
chr11_67276859_67277930	GRK2	10379	distal
chr11_67286908_67287122	ANKRD13D	-1425	distal
chr11_67287943_67290520	ANKRD13D	0	promoter
chr11_67291063_67291127	ANKRD13D	1662	distal
chr11_67302042_67304967	SSH3;ANKRD13D	0;0	promoter;distal
chr11_67316703_67318485	AP001885.2	0	promoter
chr11_67346600_67346745	POLD4	6769	distal
chr11_67351117_67352011	POLD4	1503	distal
chr11_67352514_67354316	POLD4;AP003419.2	0;0	promoter;promoter
chr11_67354918_67355976	POLD4	996	distal
chr11_67356595_67357469	POLD4	0	promoter
chr11_67372301_67374561	CLCF1;AP003419.3	0;0	promoter;promoter
chr11_67376341_67376344	AP003419.3	1926	distal
chr11_67382317_67383055	AP003419.3	7902	distal
chr11_67384529_67385565	RAD9A	-6421	distal
chr11_67390975_67392705	RAD9A	0	promoter
chr11_67397536_67398467	PPP1CA;RAD9A	3326;0	distal;distal
chr11_67400392_67421875	CARNS1;PPP1CA;TBC1D10C	0;0;0	promoter;promoter;promoter
chr11_67424137_67424845	CARNS1;RPS6KB2	0;-3649	distal;distal
chr11_67427474_67429360	RPS6KB2	0	promoter
chr11_67435604_67435932	CORO1B;PTPRCAP;RPS6KB2-AS1	0;0;-206	distal;distal;promoter
chr11_67437109_67437482	CORO1B;PTPRCAP	0;200	distal;distal
chr11_67438426_67440224	CORO1B;PTPRCAP	0;-745	distal;promoter
chr11_67441740_67441790	CORO1B	1686	distal
chr11_67442443_67444289	CORO1B	0	promoter
chr11_67451993_67452712	GPR152;CABP4	0;0	distal;promoter
chr11_67463896_67465344	TMEM134	3906	distal
chr11_67466383_67466774	TMEM134	2476	distal
chr11_67467668_67470006	TMEM134	0	promoter
chr11_67482232_67485382	AIP	0	promoter
chr11_67491726_67491941	PITPNM1;AIP	0;8701	distal;distal
chr11_67503809_67509260	PITPNM1;CDK2AP2	0;0	promoter;promoter
chr11_67572676_67573033	GSTP1	-10562	distal
chr11_67582662_67585249	GSTP1	0	promoter
chr11_67605300_67607409	NDUFV1;C11orf72;AP003385.3	0;0;0	promoter;promoter;promoter
chr11_67613908_67614746	NDUFV1	6965	distal
chr11_67615747_67615749	NDUFV1	8804	distal
chr11_67617259_67617532	NDUFV1	10316	distal
chr11_67618729_67618816	NUDT8	11114	distal
chr11_67628769_67631264	NUDT8	0	promoter
chr11_67639925_67640501	TBX10	-366	promoter
chr11_67650462_67650914	ACY3	0	promoter
chr11_67659382_67659815	ACY3	-8653	distal
chr11_67804662_67806653	LINC02754	-79843	distal
chr11_67826096_67826681	LINC02754	-59815	distal
chr11_67955386_67956155	UNC93B1	47942	distal
chr11_67993781_67994133	UNC93B1	9964	distal
chr11_68003009_68004451	UNC93B1	0	promoter
chr11_68005034_68005227	UNC93B1	-938	promoter
chr11_68008280_68011271	ALDH3B1	0	promoter
chr11_68012727_68013686	ALDH3B1	-1608	distal
chr11_68017265_68017882	ALDH3B1	1972	distal
chr11_68020477_68021683	ALDH3B1	5184	distal
chr11_68027853_68028391	ALDH3B1;AC004923.4	0;2070	distal;distal
chr11_68029587_68031577	NDUFS8;AC004923.4	0;0	promoter;promoter
chr11_68033591_68033969	NDUFS8	2904	distal
chr11_68036858_68037762	TCIRG1	-1263	distal
chr11_68038452_68039414	TCIRG1	0	promoter
chr11_68040274_68040629	TCIRG1	1250	distal
chr11_68047860_68048404	TCIRG1;AP002807.1	0;-3689	distal;distal
chr11_68051287_68051933	AP002807.1	-160	promoter
chr11_68052591_68052593	AP002807.1	-230	promoter
chr11_68066653_68067173	CHKA;AP002807.1	0;13831	distal;distal
chr11_68090264_68091274	CHKA	30114	distal
chr11_68092209_68092917	CHKA	28471	distal
chr11_68093485_68094615	CHKA	26773	distal
chr11_68099421_68100014	CHKA	21374	distal
chr11_68106317_68107138	CHKA	14250	distal
chr11_68116793_68123224	CHKA;AP002992.1	0;0	promoter;promoter
chr11_68125817_68126372	AP002992.1	4194	distal
chr11_68127733_68129087	AP002992.1	6110	distal
chr11_68140453_68142601	AP002992.1	18830	distal
chr11_68146145_68147562	AP002992.1	24522	distal
chr11_68206087_68206736	KMT5B	6550	distal
chr11_68209090_68209660	KMT5B	3626	distal
chr11_68212354_68215339	KMT5B	0	promoter
chr11_68257164_68258047	C11orf24	13900	distal
chr11_68266020_68267182	C11orf24	4765	distal
chr11_68271054_68272864	C11orf24;AP002813.1	0;0	promoter;promoter
chr11_68297480_68298205	LRP5	-14386	distal
chr11_68308056_68308435	LRP5	-4156	distal
chr11_68312200_68313967	LRP5	0	promoter
chr11_68314619_68314853	LRP5	2029	distal
chr11_68327908_68329155	LRP5	15318	distal
chr11_68330045_68330510	LRP5	17455	distal
chr11_68338340_68338771	LRP5	25750	distal
chr11_68341800_68343138	LRP5	29210	distal
chr11_68354133_68354700	LRP5	41543	distal
chr11_68370407_68371141	LRP5	57817	distal
chr11_68371719_68372025	LRP5	59129	distal
chr11_68372667_68375008	LRP5	60077	distal
chr11_68380287_68382113	LRP5	67697	distal
chr11_68383895_68384539	LRP5	71305	distal
chr11_68432186_68432273	PPP6R3;LRP5	-28458;0	distal;distal
chr11_68444507_68444821	PPP6R3;LRP5	-15910;0	distal;distal
chr11_68447014_68447670	PPP6R3;LRP5	-13061;0	distal;distal
chr11_68459417_68461859	PPP6R3	0	promoter
chr11_68470282_68470902	PPP6R3	9470	distal
chr11_68659243_68659481	GAL	-25063	distal
chr11_68751369_68751825	TESMIN	0	promoter
chr11_68796816_68797111	CPT1A	2157	distal
chr11_68828351_68828946	CPT1A	-12849	distal
chr11_68838662_68842258	CPT1A	0	promoter
chr11_68843801_68844312	CPT1A	-1871	distal
chr11_68855456_68855722	CPT1A	-13526	distal
chr11_68869697_68870288	LINC02701	-376	promoter
chr11_68890361_68891404	MRPL21	12374	distal
chr11_68903415_68904743	IGHMBP2;MRPL21	0;0	promoter;promoter
chr11_68946450_68946818	AP000808.1	-3599	distal
chr11_68998533_68998706	AP003071.4	3342	distal
chr11_69010805_69011602	MRGPRF;MRGPRF-AS1	0;-681	distal;promoter
chr11_69012976_69014098	MRGPRF;MRGPRF-AS1	0;0	promoter;distal
chr11_69035463_69035931	TPCN2	-13001	distal
chr11_69037741_69037985	TPCN2	-10947	distal
chr11_69044022_69044681	TPCN2	-4251	distal
chr11_69048327_69053871	TPCN2	0	promoter
chr11_69055916_69056503	TPCN2	6942	distal
chr11_69066258_69066478	TPCN2	17284	distal
chr11_69074909_69076321	TPCN2	25935	distal
chr11_69086133_69086524	TPCN2;AP003071.1	0;-16969	distal;distal
chr11_69088577_69089114	TPCN2;AP003071.1	0;-14379	distal;distal
chr11_69094116_69094418	TPCN2;AP003071.1	0;-9075	distal;distal
chr11_69095226_69095592	TPCN2;AP003071.1	0;-7901	distal;distal
chr11_69101319_69101938	TPCN2;AP003071.1	0;-1555	distal;distal
chr11_69115528_69115972	TPCN2;AP003071.1	0;12036	distal;distal
chr11_69126918_69127427	TPCN2;AP003071.1	0;23426	distal;distal
chr11_69131520_69131939	TPCN2;SMIM38	0;-23539	distal;distal
chr11_69155736_69159214	AP003071.2;SMIM38	0;259	distal;distal
chr11_69166451_69167020	AP003071.2	4544	distal
chr11_69211818_69212297	AP003071.2	-40255	distal
chr11_69217644_69218217	AP003071.2	-46081	distal
chr11_69297318_69297900	MYEOV	3161	distal
chr11_69298573_69298812	MYEOV	4416	distal
chr11_69380667_69381333	AP005233.2	9205	distal
chr11_69391544_69391795	AP005233.2	20082	distal
chr11_69399021_69399303	AP005233.1	-15004	distal
chr11_69442774_69444065	AP000439.1	678	distal
chr11_69480087_69480300	LINC02747	1245	distal
chr11_69489280_69489830	LINC01488	3670	distal
chr11_69497069_69497759	LINC01488	11459	distal
chr11_69538909_69539175	LINC01488	53299	distal
chr11_69539818_69540499	LINC01488	54208	distal
chr11_69636340_69637395	CCND1	-3692	distal
chr11_69638370_69639482	CCND1	-1605	distal
chr11_69640730_69644803	CCND1	0	promoter
chr11_69662388_69662525	LTO1	12796	distal
chr11_69670072_69670687	LTO1	4634	distal
chr11_69674722_69675926	LTO1	0	promoter
chr11_69685806_69686313	LTO1	-10391	distal
chr11_69700524_69701014	FGF19	3008	distal
chr11_69791239_69791645	FGF4	-15899	distal
chr11_69867858_69867968	AP007216.1	43026	distal
chr11_69912977_69913118	AP007216.1	-1984	distal
chr11_69915502_69915834	AP007216.1	-4509	distal
chr11_69918214_69919236	AP007216.1	-7221	distal
chr11_70078520_70078588	ANO1	219	distal
chr11_70090921_70091267	ANO1	5500	distal
chr11_70124798_70124982	ANO1;AP000879.2	0;-4315	distal;distal
chr11_70191537_70191878	ANO1-AS1	-3029	distal
chr11_70196019_70196492	FADD	-6671	distal
chr11_70202746_70204247	FADD	0	promoter
chr11_70251846_70252267	PPFIA1	-18433	distal
chr11_70269810_70271705	PPFIA1	0	promoter
chr11_70278852_70279526	PPFIA1	8136	distal
chr11_70281246_70281772	PPFIA1	10530	distal
chr11_70288517_70289000	PPFIA1;AP002336.2	17801;0	distal;distal
chr11_70290160_70291105	PPFIA1;AP002336.2	19444;0	distal;distal
chr11_70331992_70332183	PPFIA1;AP002336.2;AP002336.3	0;0;-4784	distal;distal;distal
chr11_70333356_70333610	PPFIA1;AP002336.2;AP002336.3	0;0;-6148	distal;distal;distal
chr11_70334183_70334414	PPFIA1;AP002336.2;AP002336.3	0;0;-6975	distal;distal;distal
chr11_70382028_70383002	CTTN;PPFIA1;AP000487.1	-15402;0;0	distal;distal;distal
chr11_70383632_70385035	CTTN;PPFIA1;AP000487.1	-13369;0;0	distal;distal;distal
chr11_70397617_70400175	CTTN;AP000487.1	0;0	promoter;promoter
chr11_70420616_70421498	CTTN	22076	distal
chr11_70424304_70424340	CTTN	25764	distal
chr11_70427799_70428140	CTTN	29259	distal
chr11_70457112_70457530	AP001271.1	20062	distal
chr11_70467064_70467895	SHANK2;AP001271.1	0;9697	distal;distal
chr11_70477451_70478596	SHANK2;AP001271.1	0;0	distal;promoter
chr11_70482472_70483251	SHANK2;AP001271.1	0;-4881	distal;distal
chr11_70500480_70501841	SHANK2;AP001271.1	0;-22889	distal;distal
chr11_70503247_70504315	SHANK2;AP001271.1	0;-25656	distal;distal
chr11_70506140_70508209	SHANK2;AP001271.1	0;-28549	distal;distal
chr11_70509406_70510839	SHANK2;AP001271.1	0;-31815	distal;distal
chr11_70518242_70518716	SHANK2;AP001271.1	0;-40651	distal;distal
chr11_70521596_70523383	SHANK2;AP001271.1	0;-44005	distal;distal
chr11_70524865_70525346	SHANK2;AP001271.1	0;-47274	distal;distal
chr11_70532403_70533185	SHANK2;AP001271.1	0;-54812	distal;distal
chr11_70536231_70536447	SHANK2;AP001271.1	0;-58640	distal;distal
chr11_70544700_70545759	SHANK2;AP001271.1	0;-67109	distal;distal
chr11_70547926_70548291	SHANK2;AP001271.1	0;-70335	distal;distal
chr11_70567883_70568965	SHANK2;SHANK2-AS1	0;-57476	distal;distal
chr11_70576879_70577012	SHANK2;SHANK2-AS1	0;-49429	distal;distal
chr11_70586628_70586986	SHANK2;SHANK2-AS1	0;-39455	distal;distal
chr11_70595549_70595658	SHANK2;SHANK2-AS1	0;-30783	distal;distal
chr11_70608509_70609134	SHANK2;SHANK2-AS1	0;-17307	distal;distal
chr11_70610454_70611401	SHANK2;SHANK2-AS1	0;-15040	distal;distal
chr11_70618495_70618949	SHANK2;SHANK2-AS1	0;-7492	distal;distal
chr11_70625770_70626832	SHANK2;SHANK2-AS1	0;0	distal;promoter
chr11_70628533_70629433	SHANK2;SHANK2-AS1	0;2093	distal;distal
chr11_70631188_70631759	SHANK2;SHANK2-AS1	0;4748	distal;distal
chr11_70632553_70632570	SHANK2;SHANK2-AS1	0;6113	distal;distal
chr11_70637197_70638760	SHANK2;SHANK2-AS2	0;-7405	distal;distal
chr11_70641585_70641724	SHANK2;SHANK2-AS2	0;-4441	distal;distal
chr11_70650204_70650706	SHANK2;SHANK2-AS2	0;4040	distal;distal
chr11_70660328_70660914	SHANK2	848	distal
chr11_70661598_70663026	SHANK2	0	promoter
chr11_70673120_70673523	SHANK2	-10924	distal
chr11_70694099_70694954	SHANK2	23049	distal
chr11_70711311_70711621	SHANK2	6382	distal
chr11_70715544_70715979	SHANK2	2024	distal
chr11_70717826_70718500	SHANK2	0	promoter
chr11_70725457_70725648	SHANK2	-7455	distal
chr11_70755405_70756173	SHANK2	-37403	distal
chr11_70778868_70779242	SHANK2	47515	distal
chr11_70804037_70804836	SHANK2	21921	distal
chr11_70814894_70815180	SHANK2	11577	distal
chr11_70824692_70825190	SHANK2	1567	distal
chr11_70825855_70827441	SHANK2	0	promoter
chr11_70828337_70829264	SHANK2	-1444	distal
chr11_70834660_70834685	SHANK2	-7767	distal
chr11_70853228_70853536	SHANK2;SHANK2-AS3	0;-9254	distal;distal
chr11_70872033_70872283	SHANK2;SHANK2-AS3	0;9244	distal;distal
chr11_70885898_70886078	SHANK2;AP003783.1	0;-12	distal;promoter
chr11_70901941_70902497	SHANK2;AP003783.1	0;15852	distal;distal
chr11_70913607_70914174	SHANK2;AP003783.1	0;27518	distal;distal
chr11_70915106_70915592	SHANK2;AP003783.1	0;29017	distal;distal
chr11_70926729_70926926	SHANK2;AP003783.1	0;40640	distal;distal
chr11_70952199_70952607	SHANK2;AP003783.1	0;66110	distal;distal
chr11_71080181_71080674	SHANK2	144088	distal
chr11_71114468_71114846	SHANK2	109916	distal
chr11_71138706_71141232	SHANK2	83530	distal
chr11_71152944_71153286	SHANK2	71476	distal
chr11_71247639_71248177	SHANK2	-22878	distal
chr11_71251312_71252200	SHANK2	-26551	distal
chr11_71287219_71287687	SHANK2	-62458	distal
chr11_71364010_71365176	DHCR7	83217	distal
chr11_71372660_71373121	DHCR7	75272	distal
chr11_71385021_71385504	DHCR7	62889	distal
chr11_71418570_71419174	DHCR7	29219	distal
chr11_71429074_71429276	DHCR7	19117	distal
chr11_71432773_71434445	DHCR7	13948	distal
chr11_71438110_71438219	DHCR7	10174	distal
chr11_71447313_71450052	DHCR7;AP002387.2	0;0	promoter;promoter
chr11_71450864_71453885	NADSYN1;AP002387.2	0;0	promoter;distal
chr11_71465036_71465489	NADSYN1	11834	distal
chr11_71500683_71500889	NADSYN1	21390	distal
chr11_71559041_71559361	KRTAP5-10	-6202	distal
chr11_71579986_71580422	KRTAP5-11	2415	distal
chr11_71639140_71639641	KRTAP5-11	-56266	distal
chr11_71765259_71765406	ALG1L9P;AP003498.2	0;19929	distal;distal
chr11_71786250_71788187	FAM86C1;ALG1L9P	0;0	promoter;distal
chr11_71792642_71793058	FAM86C1;ALG1L9P	5125;0	distal;distal
chr11_71800317_71800741	FAM86C1;ALG1L9P	0;12674	distal;distal
chr11_71813308_71814324	ZNF705E;ALG1L9P	0;0	distal;promoter
chr11_71928021_71929547	RNF121;AP002495.1	0;0	promoter;promoter
chr11_71977707_71978358	IL18BP;RNF121	-20255;0	distal;distal
chr11_71979518_71980306	IL18BP;RNF121	-18307;0	distal;distal
chr11_71995876_71996408	IL18BP;RNF121	-2205;0	distal;distal
chr11_71999527_72000228	IL18BP	0	promoter
chr11_72001965_72002695	IL18BP	2039	distal
chr11_72010751_72011392	NUMA1;AP002490.1	0;-2899	distal;distal
chr11_72012611_72014543	NUMA1;AP002490.1	0;0	distal;promoter
chr11_72015677_72016019	NUMA1;AP002490.1	0;1387	distal;distal
chr11_72025038_72025931	NUMA1	10056	distal
chr11_72037931_72042557	NUMA1	-1945	distal
chr11_72045813_72046278	NUMA1	-9827	distal
chr11_72048652_72049185	NUMA1	-12666	distal
chr11_72067141_72067403	NUMA1;LRTOMT	0;-12928	distal;distal
chr11_72069343_72070361	NUMA1;LRTOMT	0;-9970	distal;distal
chr11_72072087_72072549	NUMA1;LRTOMT	0;-7782	distal;distal
chr11_72075247_72075481	NUMA1;LRTOMT	0;-4850	distal;distal
chr11_72079218_72081443	NUMA1;LRTOMT	0;0	promoter;promoter
chr11_72085650_72086670	LAMTOR1;LRTOMT	0;-1650	distal;distal
chr11_72091026_72091758	LAMTOR1;LRTOMT	0;2001	distal;distal
chr11_72102615_72104219	LAMTOR1;LRTOMT	0;0	promoter;distal
chr11_72111630_72113391	ANAPC15	0	promoter
chr11_72143965_72144417	FOLR3	8023	distal
chr11_72169697_72170179	FOLR1;AP000812.1	-19379;0	distal;distal
chr11_72183416_72183783	FOLR1;AP000812.1	-5775;0	distal;distal
chr11_72189317_72189862	FOLR1;AP000812.1	0;0	promoter;distal
chr11_72222663_72225969	INPPL1	0	promoter
chr11_72227582_72228155	INPPL1	0	promoter
chr11_72237875_72240559	INPPL1;PHOX2A	0;3617	distal;distal
chr11_72306099_72306580	CLPB;AP000593.3	0;3961	distal;distal
chr11_72308763_72308949	CLPB;AP000593.3	0;6625	distal;distal
chr11_72333770_72333935	CLPB;AP002892.2	0;-17412	distal;distal
chr11_72349835_72350084	CLPB;AP002892.2	0;-1263	distal;distal
chr11_72352886_72353201	CLPB;AP002892.1;AP002892.2	0;-1315;0	distal;distal;distal
chr11_72378932_72379528	CLPB;AP002892.1	0;24417	distal;distal
chr11_72394615_72394993	CLPB;AP003785.1	0;-15723	distal;distal
chr11_72395609_72396569	CLPB;AP003785.1	0;-14147	distal;distal
chr11_72408563_72409312	CLPB;AP003785.1	0;-1404	distal;distal
chr11_72411466_72412440	CLPB;AP003785.1	0;751	distal;distal
chr11_72413844_72414619	CLPB;AP003785.1	0;3129	distal;distal
chr11_72417674_72418338	CLPB;AP003785.1	0;6959	distal;distal
chr11_72430738_72431468	CLPB	3063	distal
chr11_72433926_72435220	CLPB	0	promoter
chr11_72446958_72447328	CLPB	-12279	distal
chr11_72471212_72471736	CLPB	-36533	distal
chr11_72482214_72482689	CLPB	-47535	distal
chr11_72521615_72522656	LINC01537	-48004	distal
chr11_72541660_72541850	LINC01537	-28810	distal
chr11_72573357_72573730	LINC01537	2698	distal
chr11_72584479_72584706	PDE2A;AP005019.1	0;0	distal;promoter
chr11_72585622_72586317	PDE2A;AP005019.1	0;1051	distal;distal
chr11_72589759_72590136	PDE2A;AP005019.1	0;5188	distal;distal
chr11_72591846_72592650	PDE2A;AP005019.1	0;7275	distal;distal
chr11_72598856_72599349	PDE2A;AP005019.1	0;14285	distal;distal
chr11_72606005_72607551	PDE2A;AP005019.1	0;21434	distal;distal
chr11_72609130_72609424	PDE2A;AP005019.1	0;24559	distal;distal
chr11_72613989_72614403	PDE2A	28028	distal
chr11_72615292_72615972	PDE2A	26459	distal
chr11_72617104_72617961	PDE2A	24470	distal
chr11_72618874_72619053	PDE2A	23378	distal
chr11_72624633_72624988	PDE2A	17443	distal
chr11_72625660_72632728	PDE2A	9703	distal
chr11_72635338_72635718	PDE2A	6713	distal
chr11_72637784_72638294	PDE2A	4137	distal
chr11_72639646_72640198	PDE2A	2233	distal
chr11_72641864_72644006	PDE2A;AP003065.1	0;0	promoter;promoter
chr11_72649583_72649615	PDE2A;AP003065.1	0;6347	distal;distal
chr11_72668517_72669830	PDE2A	0	promoter
chr11_72673899_72674693	PDE2A	0	promoter
chr11_72676767_72677473	PDE2A	-2346	distal
chr11_72680012_72680020	ARAP1-AS1	-5055	distal
chr11_72680653_72682047	ARAP1-AS1	-3028	distal
chr11_72683508_72684960	ARAP1-AS1	-115	promoter
chr11_72685630_72685771	ARAP1;ARAP1-AS1	0;556	distal;distal
chr11_72703144_72703776	ARAP1;ARAP1-AS2	0;2671	distal;distal
chr11_72712343_72712696	ARAP1	455	distal
chr11_72716230_72716785	ARAP1	-3080	distal
chr11_72720178_72720348	ARAP1	1680	distal
chr11_72721461_72724141	ARAP1	0	promoter
chr11_72724992_72725962	ARAP1	-2635	distal
chr11_72726697_72727808	ARAP1	-4340	distal
chr11_72732346_72732792	ARAP1	-9989	distal
